Prestadora;CNPJ;N�mero da Esta��o;Tipo da Esta��o;UF;C�digo da UF;Munic�pio;C�digo do Munic�pio;Logradouro;Latitude;Longitude;Frequ�ncia Inicial (MHz);Frequ�ncia Final (MHz);Azimute;Emiss�o
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;869.000;880.000;200.0;5M00G7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1825.000;1827.500;120.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1827.500;1830.000;15.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1830.000;1832.500;15.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1832.500;1835.000;120.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1832.500;1835.000;200.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;869.000;880.000;15.0;5M00G7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1825.000;1827.500;15.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1825.000;1827.500;200.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1830.000;1832.500;120.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;869.000;880.000;120.0;5M00G7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1827.500;1830.000;120.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1827.500;1830.000;200.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1830.000;1832.500;200.0;200KG7W
TIM S/A;02421421000111;1058;FB;AL;27;Flexeiras;2702801;RODOVIA BR 101 NORTE 0 MORRO CORTE NOVO;*;*;1832.500;1835.000;15.0;200KG7W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;35.0;5M00G9W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;35.0;5M00G9W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;155.0;5M00G9W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;275.0;5M00G9W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;2125.0;2135.0;275.0;5M00G9W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;869.0;880.0;35.0;5M00G9W
TIM S/A;02421421000111;2119;FB;AL;27;Macei�;2704302;RUA SAO FRANCISCO DE ASSIS,1000,JATIUCA;*;*;869.0;880.0;35.0;5M00G9W
